Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion
4;08:00;02;2016;;15;7;1,3;355,46;83,519;0,000;01:30;9;0,020;0,069;;0;0,007;0,069;351,88;85,685;-0,051;03:30;9;;0,113;;0;0,007;0,062;169,204;-0,051;0,182;0,131;332,31;30,866;0,032;0,004;0,004;;;0,004;0,036;200,070;-0,019;0,186;0,167;2,05;0,177;1046;185;301,82;0,145;0,320;0,465;0,028;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;
5;08:00;02;2016;;14;6;2,9;355,46;83,519;0,000;;;0,020;0,020;2516;50;0,015;0,020;351,89;85,736;0,051;;;;0,000;;0;0,015;0,051;169,255;0,051;0,020;0,071;332,31;30,866;0,000;0,004;0,004;;;0,009;0,004;200,121;0,051;0,024;0,075;2,25;0,193;;0;301,57;0,116;0,191;0,307;-0,158;1,9;24;0;0,163;0,0;24;0;0,000;0,35;24;0;0,030;0;0,193;;;
6;08:00;02;2016;;15;11;1,4;355,41;83,254;-0,265;03:00;20;0,020;0,241;;0;0,007;-0,024;351,89;85,736;0,000;;;;0,000;;0;0,007;0,000;168,990;-0,265;0,241;-0,024;332,31;30,866;0,000;0,004;0,004;;;0,004;0,004;199,856;-0,265;0,245;-0,020;2,25;0,194;1135;221;;;;;;1,9;24;0;0,164;0,0;24;0;0,000;0,35;24;0;0,030;0;0,194;;;
7;08:00;02;2016;;17;11;1,3;355,40;83,201;-0,053;02:02;9;0,020;0,086;;0;0,007;0,033;351,89;85,736;0,000;;;;0,000;;0;0,007;0,000;168,937;-0,053;0,086;0,033;332,30;30,834;-0,032;0,004;0,110;;;0,004;0,078;199,771;-0,085;0,196;0,111;2,25;0,194;;0;;;;;;1,9;24;0;0,164;0,0;24;0;0,000;0,35;24;0;0,030;0;0,194;;;
8;08:00;02;2016;;15;8;3,1;355,38;83,095;-0,106;02:30;9;0,020;0,101;;0;0,016;-0,005;351,90;85,788;0,052;;;;0,000;;0;0,016;0,052;168,883;-0,054;0,101;0,047;332,29;30,803;-0,031;0,004;0,098;;;0,010;0,067;199,686;-0,085;0,199;0,114;2,25;0,194;;0;301,84;0,147;0,375;0,522;#ÁVALOR!;1,9;24;0;0,164;0,0;24;0;0,000;0,35;24;0;0,030;0;0,194;;;
9;08:00;02;2016;;14;8;1,4;355,38;83,095;0,000;;;0,020;0,020;2574;51;0,007;0,020;351,90;85,788;0,000;;;;0,000;;0;0,007;0,000;168,883;0,000;0,020;0,020;332,30;30,834;0,031;0,004;0,004;;;0,004;0,035;199,717;0,031;0,024;0,055;2,25;0,194;;0;301,80;0,141;0,253;0,394;-0,128;1,9;24;0;0,164;0,0;24;0;0,000;0,35;24;0;0,030;0;0,194;;;
10;08:00;02;2016;0;15;9;2,4;355,37;83,043;-0,052;01:30;9;0,020;0,069;;0;0,012;0,017;351,89;85,736;-0,052;03:30;9;;0,113;;0;0,012;0,061;168,779;-0,104;0,182;0,078;332,31;30,866;0,032;0,004;0,004;;;0,008;0,036;199,645;-0,072;0,186;0,114;2,15;0,186;1147;213;301,82;0,145;0,266;0,411;0,017;1,8;24;0;0,156;0,0;24;0;0,000;0,35;24;0;0,030;0;0,186;;;
11;08:00;02;2016;4,6;16;13;0,7;355,38;83,095;0,052;;;0,020;0,020;2516;50;0,004;0,072;351,90;85,788;0,052;;;;0,000;;0;0,004;0,052;168,883;0,104;0,020;0,124;332,31;30,866;0,000;0,004;0,004;;;0,002;0,004;199,749;0,104;0,024;0,128;2,15;0,186;;0;301,11;0,071;0,230;0,301;-0,110;1,8;24;0;0,156;0,0;24;0;0,000;0,35;24;0;0,030;0;0,186;;;
12;08:00;02;2016;2;16;8;0,6;355,39;83,148;0,053;01:30;9;0,020;0,069;2527;174;0,003;0,122;351,89;85,736;-0,052;03:21;9;;0,109;;0;0,003;0,057;168,884;0,001;0,178;0,179;332,32;30,897;0,031;0,004;0,004;;;0,002;0,035;199,781;0,032;0,182;0,214;2,15;0,186;;0;301,74;0,133;0,180;0,313;0,012;1,8;24;0;0,156;0,0;24;0;0,000;0,35;24;0;0,030;0;0,186;;;
13;08:00;02;2016;0,2;17;12;1,3;355,36;82,990;-0,158;03:00;20;0,020;0,236;;0;0,007;0,078;351,90;85,788;0,052;;;;0,000;;0;0,007;0,052;168,778;-0,106;0,236;0,130;332,32;30,897;0,000;0,004;0,004;;;0,004;0,004;199,675;-0,106;0,240;0,134;2,15;0,186;;0;;;;;;1,8;24;0;0,156;0,0;24;0;0,000;0,35;24;0;0,030;0;0,186;;;
