Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion;;;;;;;;;;;;;
2;8:00;03;2015;;18;7;2,6;359,92;109,766;0,065;;;0,020;0,020;;0;0,017;0,085;357,12;116,620;0,129;;;;0,000;;0;0,017;0,129;226,386;0,194;0,020;0,214;338,30;52,815;0,084;0,004;0,004;;;0,011;0,088;279,201;0,278;0,024;0,302;1,75;0,151;1264;191;300,55;0,026;0,116;0,142;#ÁVALOR!;1,4;24;0;0,121;0,0;24;0;0,000;0,35;24;0;0,030;0;0,151;;;;;;;;;;;;;;;;
3;8:00;03;2015;;22;8;1,9;359,95;109,962;0,196;;;0,020;0,020;;0;0,012;0,216;357,14;116,750;0,130;;;;0,000;;0;0,012;0,130;226,712;0,326;0,020;0,346;338,31;52,858;0,043;0,004;0,004;;;0,008;0,047;279,570;0,369;0,024;0,393;1,75;0,035;;0;300,60;0,030;0,177;0,207;0,065;1,4;1;0;0,005;0,0;24;0;0,000;0,35;24;0;0,030;0;0,035;;;;;;;;;;;;;;;;
4;8:00;03;2015;;22;9;2,7;359,96;110,027;0,065;;;0,020;0,020;2048;41;0,018;0,085;357,15;116,815;0,065;;;;0,000;;0;0,018;0,065;226,842;0,130;0,020;0,150;338,32;52,900;0,042;0,004;0,004;;;0,011;0,046;279,742;0,172;0,024;0,196;0,35;0,030;;0;300,63;0,032;0,218;0,250;0,043;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
5;8:00;03;2015;;21;12;2,8;359,95;109,962;-0,065;3:00;20,0;0,020;0,236;1638;387;0,018;0,171;357,16;116,880;0,065;;;;0,000;;0;0,018;0,065;226,842;0,000;0,236;0,236;338,33;52,942;0,042;0,004;0,004;;;0,012;0,046;279,784;0,042;0,240;0,282;0,35;0,030;;0;300,70;0,037;0,415;0,452;0,202;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
6;8:00;03;2015;;13;7;3,5;359,96;110,027;0,065;;;0,020;0,020;;0;0,023;0,085;357,17;116,945;0,065;;;;0,000;;0;0,023;0,065;226,972;0,130;0,020;0,150;338,34;52,984;0,042;0,004;0,004;;;0,015;0,046;279,956;0,172;0,024;0,196;0,35;0,030;;0;300,70;0,037;0,408;0,445;-0,007;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
7;8:00;03;2015;;14;8;5,1;359,97;110,093;0,066;;;0,020;0,020;;0;0,034;0,086;357,18;117,010;0,065;;;;0,000;;0;0,033;0,065;227,103;0,131;0,020;0,151;338,35;53,026;0,042;0,004;0,004;;;0,021;0,046;280,129;0,173;0,024;0,197;0,35;0,030;;0;;;;;;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
8;8:00;03;2015;;16;2;2,3;359,98;110,158;0,065;;;0,020;0,020;;0;0,015;0,085;357,19;117,075;0,065;;;;0,000;;0;0,015;0,065;227,233;0,130;0,020;0,150;338,36;53,069;0,043;0,004;0,004;;;0,010;0,047;280,302;0,173;0,024;0,197;0,35;0,030;;0;;;;;;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
9;8:00;03;2015;;20;2;4,9;359,99;110,224;0,066;;;0,020;0,020;;0;0,032;0,086;357,20;117,140;0,065;;;;0,000;;0;0,032;0,065;227,364;0,131;0,020;0,151;338,37;53,111;0,042;0,004;0,004;;;0,021;0,046;280,475;0,173;0,024;0,197;0,35;0,030;;0;300,75;0,041;0,475;0,516;#ÁVALOR!;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
10;8:00;03;2015;;17;5;3,0;360,00;110,289;0,065;;;0,020;0,020;;0;0,020;0,085;357,21;117,205;0,065;;;;0,000;;0;0,020;0,065;227,494;0,130;0,020;0,150;338,32;52,900;-0,211;0,004;0,148;;;0,013;-0,063;280,394;-0,081;0,168;0,087;0,35;0,030;;0;301,85;0,148;0,505;0,653;0,137;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
11;8:00;03;2015;;22;5;2,8;360,01;110,355;0,066;;;0,020;0,020;;0;0,018;0,086;357,22;117,270;0,065;;;;0,000;;0;0,018;0,065;227,625;0,131;0,020;0,151;338,32;52,900;0,000;0,004;0,004;;;0,012;0,004;280,525;0,131;0,024;0,155;0,35;0,030;;0;301,77;0,136;0,515;0,651;-0,002;0,0;24;0;0,000;0,0;24;0;0,000;0,35;24;0;0,030;0;0,030;;;;;;;;;;;;;;;;
